price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
635000,77,3,3,2,8246.75,PATRIOLINO RIBEIRO
330000,86,3,2,1,3837.21,MEIRELES
550000,139,3,4,2,3956.83,MEIRELES
440000,95,3,3,2,4631.58,ALDEOTA
430000,129,3,3,2,3333.33,VARJOTA
490000,162,3,5,2,3024.69,ALDEOTA
300000,145,3,2,2,2068.97,PRAIA DO FUTURO
460000,131,3,4,2,3511.45,PAPICU
550961,95,3,3,2,5799.59,JOSE DE ALENCAR
650000,122,3,3,2,5327.87,PARQUE IRACEMA
308999,70,2,2,2,4414.27,PRAIA DE IRACEMA
510000,62,2,1,2,8225.81,ALDEOTA
314999,63,2,2,1,4999.98,MEIRELES
260000,64,2,3,1,4062.5,PAPICU
750000,98,3,3,2,7653.06,COCO
450000,138,3,5,2,3260.87,DIONISIO TORRES
550000,104,3,2,2,5288.46,CENTRO
580000,128,3,4,2,4531.25,ALDEOTA
620000,98,3,3,2,6326.53,MEIRELES
410000,58,2,2,1,7068.97,ALDEOTA
650000,143,3,3,2,4545.45,DIONISIO TORRES
220000,60,3,2,1,3666.67,CAMBEBA
600000,83,3,3,2,7228.92,MEIRELES
350000,91,2,1,1,3846.15,ALDEOTA
678000,95,3,2,2,7136.84,PARQUE IRACEMA
585000,97,3,3,2,6030.93,COCO
459999,72,3,3,2,6388.88,MEIRELES
330000,73,3,2,1,4520.55,PASSARE
630000,99,3,3,2,6363.64,ALDEOTA
470000,88,3,2,2,5340.91,MEIRELES
550000,126,3,2,2,4365.08,MEIRELES
310000,86,3,2,1,3604.65,MEIRELES
280000,117,3,1,1,2393.16,FATIMA
292000,58,2,2,1,5034.48,JOQUEI CLUBE
320000,93,4,3,2,3440.86,JOAQUIM TAVORA
290000,89,3,2,1,3258.43,PARQUELANDIA
115000,50,2,1,1,2300.0,MESSEJANA
680000,114,2,3,2,5964.91,FATIMA
750000,105,3,4,2,7142.86,VARJOTA
240000,125,3,2,2,1920.0,ALDEOTA
180000,75,2,3,1,2400.0,BENFICA
270000,112,3,3,2,2410.71,FATIMA
500000,133,3,3,2,3759.4,COCO
420000,112,3,1,2,3750.0,PAPICU
710000,91,3,2,2,7802.2,MEIRELES
410000,70,2,3,2,5857.14,PATRIOLINO RIBEIRO
175000,124,3,2,1,1411.29,PASSARE
470000,68,3,4,2,6911.76,ALDEOTA
365000,124,3,4,2,2943.55,ALDEOTA
240000,66,3,2,1,3636.36,MONTESE
380000,101,3,2,1,3762.38,VARJOTA
645000,90,3,3,2,7166.67,JOAQUIM TAVORA
440000,90,3,2,2,4888.89,COCO
594999,150,4,5,2,3966.66,DIONISIO TORRES
149900,42,2,1,1,3569.05,MESSEJANA
340754,65,2,2,1,5242.37,PASSARE
630000,110,4,3,2,5727.27,PARQUELANDIA
370000,85,3,2,2,4352.94,MARAPONGA
330000,64,3,1,1,5156.25,PARQUELANDIA
580000,75,3,3,1,7733.33,MEIRELES
410000,58,2,2,1,7068.97,ALDEOTA
210000,63,3,2,1,3333.33,VILA UNIAO
490000,142,3,3,2,3450.7,EDSON QUEIROZ
275000,65,3,3,1,4230.77,CAMBEBA
280000,64,3,2,2,4375.0,MONTE CASTELO
489000,90,3,3,2,5433.33,FATIMA
710000,105,3,3,2,6761.9,VARJOTA
530000,90,3,3,2,5888.89,FATIMA
730000,132,3,5,3,5530.3,ALDEOTA
140000,42,2,1,1,3333.33,ENG LUCIANO CAVALCANTE
616000,115,4,4,3,5356.52,PATRIOLINO RIBEIRO
260000,102,3,3,1,2549.02,JOAQUIM TAVORA
629000,98,3,3,2,6418.37,ENG LUCIANO CAVALCANTE
220000,56,3,2,1,3928.57,MONDUBIM
1080000,120,3,4,3,9000.0,PRAIA DE IRACEMA
768808,119,3,5,2,6460.57,ENG LUCIANO CAVALCANTE
695000,138,3,4,2,5036.23,ALDEOTA
280000,77,2,2,1,3636.36,MEIRELES
331221,57,2,1,2,5810.89,BENFICA
595000,95,3,3,2,6263.16,PARQUE IRACEMA
